,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.4_Expected Annual Damage 0,A.4_Expected Number of Deaths 0,A.4_Expected Annual Damage 1,A.4_Expected Number of Deaths 1,A.4_Expected Annual Damage 2,A.4_Expected Number of Deaths 2,A.4_Expected Annual Damage 3,A.4_Expected Number of Deaths 3,Total Expected Annual Damage,Total Expected Number of Deaths
402,114.0,282.61396574243236,1.5,0.8956794010081419,292.95110957352324,1.0,0.7406256754065684,195.0725047243317,1.5,0.8811709233920043,167.18292313984657,1.5,0.13910360014978426,156.83491974916944,1.5,0.3752781250316256,3.5,4.5,1.5,20848039.199606884,0.016069524390961785,18464035.90758632,0.016069524390961785,27222808.609207194,0.016069524390961785,23725232.87505269,0.016069524390961785,90260116.59145309,0.06427809756384714
422,29.0,266.31278438115214,10.0,0.635475910529569,276.7955746490959,1.5,0.7312622505324187,319.2882500258701,10.0,0.5673278707615311,342.91334039591135,10.0,0.10481962553311858,231.56127356280246,1.5,0.18098415513094251,3.5,4.5,3.5,24229653.43814857,0.018106297742682662,21458957.69031283,0.018106297742682662,24229653.43814857,0.018106297742682662,24229653.43814857,0.018106297742682662,94147918.00475854,0.07242519097073065
431,69.0,274.1800436403539,10.0,0.5491193095458319,316.3467153398779,1.0,0.9297938253512114,85.42922154276509,1.5,0.8837092189898659,57.97637238139424,10.0,0.10229321306709407,128.15246212070815,1.5,0.08236228865371499,1.5,3.5,1.5,35390757.3326576,0.020473817631480488,27103298.075036786,0.020473817631480488,35390757.3326576,0.020473817631480488,35390757.3326576,0.020473817631480488,133275570.07300958,0.08189527052592195
437,98.0,73.34563795716718,10.0,0.6140307882894968,333.82867722717333,1.5,0.8115016339024819,38.60413232894554,1.5,0.4551966500430194,169.98032763060075,1.5,0.12334362288081115,271.98842540504467,1.0,0.045255278595984896,1.5,3.5,2.5,30852891.9683482,0.017771662356058766,23628065.36280063,0.017771662356058766,26888924.55315328,0.017771662356058766,20926162.077332146,0.017771662356058766,102296043.96163425,0.07108664942423507
471,123.0,260.1779748364683,10.0,0.5936712571823802,185.08647813181483,1.0,0.2462196220688657,95.8403574381279,1.5,0.3667244668259113,158.5992926096567,1.0,0.07326011707871445,181.24177373251868,10.0,0.9967874669092798,2.5,3.5,4.5,34779800.56671171,0.021914378854760927,30562003.30626702,0.021914378854760927,27067194.23596089,0.021914378854760927,39907041.55698982,0.021914378854760927,132316039.66592944,0.08765751541904371
489,60.0,65.45744717984239,10.0,0.4631581292656069,50.07129773051675,10.0,0.6471604505856584,200.17223064802184,1.0,0.31966741867436665,310.93911692393914,1.0,0.17015585440371642,184.5973953149211,1.5,0.7110867218979572,1.5,3.5,2.5,23995382.96148017,0.01353925267060036,18376380.327683114,0.01353925267060036,20912465.604105353,0.01353925267060036,18376380.327683114,0.01353925267060036,81660609.22095175,0.05415701068240144
491,68.0,266.0536834329368,1.0,0.7067344537813851,262.01696839846835,1.0,0.9492085108762836,256.04094394095785,1.5,0.7000963823420714,164.30684790132932,10.0,0.14912555684908618,153.93295955558756,1.0,0.2163958744078105,2.5,1.5,1.5,27850790.54833915,0.018880071237976914,31956556.32572455,0.018880071237976914,31956556.32572455,0.018880071237976914,21674729.156396426,0.018880071237976914,113438632.35618466,0.07552028495190766
514,80.0,40.74154541058826,1.0,0.6439065701638683,186.21438074028802,10.0,0.7712755264849559,217.1799135484619,1.0,0.388268329863888,287.7662881211618,10.0,0.07444109980535342,42.648738797620844,1.0,0.006751019571756599,3.5,2.5,2.5,23298078.41127844,0.016777575103228113,26513396.80228737,0.016777575103228113,26513396.80228737,0.016777575103228113,20633909.60871363,0.016777575103228113,96958781.62456681,0.06711030041291245
542,13.0,207.30859767523722,1.5,0.5236362099634057,67.95341742694464,1.5,0.7709585385710531,231.8745044996167,10.0,0.5484588109993546,32.250652604738676,1.0,0.13165131355033852,184.0951559902555,10.0,0.4910572013880875,3.5,2.5,4.5,17304370.617743824,0.013060121296590729,19692510.107614014,0.013060121296590729,15325590.928965082,0.013060121296590729,17304370.617743824,0.013060121296590729,69626842.27206674,0.052240485186362914
561,5.0,124.84777459117524,10.0,0.4696814395043624,46.961147581450064,1.5,0.7672292200027789,182.41465230206325,1.5,0.898116019418359,155.17016014837066,1.0,0.11967025410401427,81.52811950847006,1.0,0.7537266310522915,1.5,4.5,1.5,25764361.74104046,0.014797412588314022,17474835.427587733,0.014797412588314022,25764361.74104046,0.014797412588314022,25764361.74104046,0.014797412588314022,94767920.65070912,0.05918965035325609
565,75.0,224.69549892988465,1.5,0.6818747413502859,78.60450446215394,1.5,0.4765667829350424,201.15739471397904,1.0,0.9161802463964446,132.5823433063078,1.5,0.11784642171904765,179.7562531328326,10.0,0.5640897705063559,4.5,2.5,2.5,16917411.493112367,0.014242441835701771,21737908.72840932,0.014242441835701771,21737908.72840932,0.014242441835701771,24942512.977402635,0.014242441835701771,85335741.92733365,0.056969767342807086
